S,T,R,ST
Anse,she,says,neutral
Anse,women,calls,neutral
Anse,mammy,mentions,neutral
Anse,Cash,hears,neutral
she,Anse,rubbing,neutral
Vardaman,fish,carrying,neutral
Vardaman,Anse,says,neutral
Vardaman,Dewey Dell,mentions,neutral
Vardaman,Anse,calls,neutral
Anse,Vardaman,commands,neutral
Anse,Vardaman,commands,neutral
Vardaman,fish,curses,negative
Anse,Vardaman,commands,neutral
Anse,Jewel,mentions,neutral
Jewel,Anse,mentions,neutral
Jewel,Eula,mentions,neutral
Kate,Jewel,mentions,neutral
Cora,Anse,mentions,neutral
Cora,chickens,mentions,neutral
Anse,Cora,mentions,neutral
Cash,boards,trimming,neutral
Anse,Cora,says,neutral
Anse,Cora,says,neutral
Anse,Addie,mentions,neutral
Anse,road,curses,negative
Anse,Peabody,told,neutral
Anse,she,kept,neutral
Anse,she,going,positive
she,Anse,sot,neutral
Anse,me,good,positive
girl,she,wants,neutral
Cash,saw,snores,neutral
girl,Dewey Dell,wants,neutral
Dewey Dell,Addie,wants,neutral
pa,Dewey Dell,right,positive
pa,Dewey Dell,hungry,neutral
Dewey Dell,Addie,smoothing,neutral
peabody,she,stand,positive
Vardaman,she,getting,negative
Vardaman,she,kilt,negative
Vardaman,she,run,neutral
cow,Vardaman,moans,neutral
Cash,hill,hope,positive
Vardaman,Addie,gone,neutral
Cora,Vernon Tull,says,neutral
Vernon Tull,Cash,is wearing,positive
Vernon Tull,Cash,is hunting,neutral
Cash,Peabody,raise,positive
Mrs. Tull,Vernon Tull,calls,neutral
Cash,box,puts,neutral
Cash,house,returns to,neutral
VARDAMAN,she,thinks,neutral
TULL,Peabody,hitched,neutral
Quick,Cora,found,neutral
Quick,Anse,told,neutral
Armstid,Anse,speaks to,positive
Anse,us,meets,neutral
Peabody,kitchen,come into,neutral
Dewey Dell,him,taken,neutral
Peabody,team,broke,negative
I,him,tell,neutral
Cash,holes,filling up,neutral
Anse,us,waves,neutral
Cash,holes,bored,neutral
Cash,joints and seams,made,neutral
Whitfield,trestles and plank-ends,goes back to,neutral
Anse,her,laid in,neutral
Horse,Whitfield,swum,neutral
Quick,Anse,reminds,neutral
Cora,Whitfield,come into,neutral
Anse,us,leads,neutral
Cash,Littlejohn,says,neutral
Cash,Armstid,says,neutral
Uncle Billy,He,says,neutral
Cash,Anse Bundren,mentions,negative
Cash,Quick,mentions,negative
Darl,Jewel,says,neutral
Darl,Jewel,says,negative
Darl,Jewel,describes,neutral
Darl,Jewel,describes,negative
Jewel,Darl,replies,negative
Cash,Darl,mentions,neutral
Cash,Darl,mentions,negative
Cora,Cash,mentions,negative
Cora,Anse Bundren,mentions,negative
Dewey Dell,river,mentions,neutral
