S,T,R,ST,W
Animal Farm,George Orwell,author,neutral,0.7
Old Major,Boxer,friendship,positive,0.8
Old Major,Clover,friendship,positive,0.8
Old Major,Muriel,friendship,positive,0.8
Old Major,Benjamin,friendship,positive,0.8
Old Major,Moses,friendship,positive,0.8
Old Major,Mollie,friendship,positive,0.8
Old Major,rats,comrades,positive,0.6
Old Major,comrades,unity,positive,0.7
Old Major,animals,equality,positive,0.7
Old Major,Beasts of England,inspiration,positive,0.9
Beasts of England,Old Major,inspired by,positive,0.9
Old Major,rats,comrades of,positive,0.7
Old Major,rabbits,comrades of,positive,0.7
Old Major,dogs,dissentients,negative,0.7
Old Major,cat,dissentients,negative,0.7
Old Major,Mr. Jones,duty of enmity towards,negative,0.9
Old Major,two-legged creatures,enemies,negative,0.8
Old Major,four-legged creatures,friends,positive,0.8
Old Major,fighting against Man,resembling him,negative,0.7
Old Major,habit of Man,evil,negative,0.8
Old Major,dream,reminded of old song,positive,0.6
Old Major,animals,all animals are equal,positive,0.8
Old Major,animals,no animal must tyrannize over others,positive,0.8
Old Major,Beasts of England,song title,positive,0.5
animals,Beasts of England,singing,positive,0.6
animals,Mr. Jones,awoke,negative,0.7
Mr. Jones,gun,lashed out at animals,negative,0.8
animals,Mr. Jones,expelled,positive,0.9
Animal Farm,Mr. Jones,was theirs,positive,0.9
Snowball,Napoleon,cleverest,positive,0.7
pigs,teaching and organizing,fell on,positive,0.7
Snowball,Napoleon,elaborated Animalism,positive,0.7
animals,meeting,ignorance and apathy,negative,0.6
Mollie,Sugar,concerned about,neutral,0.5
Snowball,Mollie,reproached,negative,0.6
pigs,Moses,counteract lies,negative,0.7
Animalism,Pigs,inscribed on wall,positive,0.7
Animal Farm,Mr. Jones,ownership,negative,0.7
Napoleon,pigs,leadership,positive,0.8
Napoleon,Snowball,disagreement,negative,0.6
pets,Mollie,behavior,neutral,0.4
Napoleon,Snowball,competition,negative,0.7
pigs,backup,protection,positive,0.7
pigs,animals,authority,positive,0.7
Snowball,Julius Caesar's book,strategy,neutral,0.6
pigs,other animals,education,positive,0.7
Snowball,other animals,organization,positive,0.7
Snowball,other animals,leadership,positive,0.7
Snowball,Muriel,teaching,positive,0.6
Snowball,Benjamin,interaction,neutral,0.5
pigs,milk,appropriation,negative,0.7
pigs,apples,appropriation,negative,0.7
pigs,animals,control,positive,0.7
Snowball,pigeons,communication,positive,0.6
animals,Rebellion,propagation,positive,0.6
Foxwood,Manor Farm,adjoining,neutral,0.5
Pinchfield,Manor Farm,adjoining,neutral,0.5
Foxwood,Pinchfield,relationship,negative,0.6
Mr. Pilkington,Foxwood,owner,neutral,0.5
Mr. Frederick,Pinchfield,owner,neutral,0.5
Animals,Rebellion,spread,positive,0.6
Beasts of England song,Animals,inspiration,positive,0.6
Snowball,Julius Caesar's book,strategy,neutral,0.6
Snowball's attack,human beings,defensive,negative,0.7
Animal Farm,George Orwell,written by,positive,0.9
Mr. Jones,Manor Farm,ownership of,positive,0.7
pigs,Manor Farm,residing in,neutral,0.5
hens,Manor Farm,residing in,neutral,0.5
pigeons,Manor Farm,residing in,neutral,0.5
sheep,Manor Farm,residing in,neutral,0.5
cows,Manor Farm,residing in,neutral,0.5
Boxer,Manor Farm,residing in,neutral,0.6
Clover,Manor Farm,residing in,neutral,0.6
Muriel,Manor Farm,residing in,neutral,0.5
