S,T,R,ST
CORA,Delphine Lettau,produced by,positive
CORA,Cindy Beyer,produced by,positive
William Faulkner,As I Lay Dying,author of,positive
Chatto & Windus,London,location of,neutral
JEWEL,Cotton-House,location of,neutral
JEWEL,Cotton-House,location of,neutral
July,Cotton-House,time of,neutral
cash’s saw,Addie Bundren,used by,neutral
CORA,Miss Lawington,advised by,positive
CORA,Mr. Tull,engaged with,positive
CORA,Kate,talked with,neutral
Town,CORA,location of,neutral
Kate,says,speaks,positive
I,says,speaks,positive
I,saved,verbs,positive
Kate,says,speaks,positive
I,saved,verbs,positive
Mr. Tull,realizes,verbs,positive
Kate,says,speaks,positive
I,saved,verbs,positive
Cakes,cost,verbs,negative
Addie,bake,verbs,positive
Girl,watches,verbs,positive
Egg,find,verbs,positive
Quilt,drawn,verbs,neutral
Quilt,makes,verbs,neutral
Eyes,like,verbs,neutral
Eternal salvation,upon,verbs,positive
Cakes,bake,verbs,positive
I,reckon,speaks,neutral
Quilt,makes,verbs,neutral
Deaf,could,verbs,neutral
Cakes,bake,verbs,positive
I,said,speaks,neutral
Cakes,cost,verbs,negative
Money,used,verbs,neutral
I,tell,verbs,positive
Someones,comes,verbs,neutral
Darl,looks,verbs,neutral
Eula,watches,verbs,neutral
Eula,rises,verbs,neutral
Pa,tilting,verbs,positive
Jewel,goes,verbs,neutral
Water,set,verbs,neutral
Water,drunk,verbs,neutral
I,lie,verbs,neutral
Pa,gazing,verbs,neutral
I,rub,verbs,neutral
Pallet,lie,verbs,neutral
Metal,drunk,verbs,negative
Pines seedlings,cool,adjectives,positive
Top,black,adjectives,neutral
Surface,round,adjectives,neutral
Shirt-tail,up,adjectives,neutral
Water,tastes,verbs,positive
Pa,seen,verbs,neutral
Horse,goes,verbs,neutral
Horse,snorts,verbs,neutral
Jewel,whistles,verbs,positive
Horse,comes,verbs,neutral
Jewel,whistles,verbs,positive
Horse,watches,verbs,neutral
Jewel,walks,verbs,positive
Horse,slashes,verbs,neutral
Jewel,enclosed,verbs,neutral
Jewel,strikes,verbs,neutral
Jewel,slides,verbs,neutral
Horse,enters,verbs,neutral
Jewel,follows,verbs,neutral
Jewel,kicks,verbs,positive
Horse,arches,verbs,negative
Jewel,strikes,verbs,negative
Jewel,drags,verbs,neutral
Darl,watch,verbs,positive
Corner,round,adjectives,neutral
Steps,mount,verbs,neutral
Vernon,spits,verbs,neutral
Pa,rub,verbs,neutral
Jewel,watches,verbs,neutral
Pail,drinks,verbs,neutral
pa,son,say,positive
son,shirt,mention,neutral
son,sweat stain,mention,neutral
pa,shirt,mention,neutral
pa,sweat stain,mention,neutral
son,sweat stain,mention,neutral
son,shirt,mention,neutral
pa,week,say,positive
pa,Vernon,mention,neutral
Vernon,spit,mention,neutral
pa,team,mention,neutral
son,team,mention,neutral
son,pa,say,positive
pa,Doctor,mention,neutral
pa,road,mention,neutral
son,road,mention,neutral
Vernon,rain,mention,positive
pa,Vernon,mention,neutral
Vernon,ma,mention,neutral
Jewel,Vernon,mention,neutral
Jewel,ma,mention,neutral
Vernon,Jewel,mention,neutral
Jewel,pa,say,negative
Vernon,Jewel,mention,neutral
pa,told them,say,neutral
Vernon,Jewel,mention,neutral
pa,Vernon,say,negative
Vernon,Jewel,say,negative
son,Vernon's team,say,positive
son,pa,mention,positive
Jewel,son,mention,neutral
son,pa,mention,neutral
son,pa,say,positive
son,ma,say,positive
Vernon,Jewel,say,negative
pa,rain,say,negative
pa,tell,mention,neutral
Vernon,Cash,mention,neutral
pa,Jewel,mention,neutral
pa,Jewel,say,positive
pa,tell,mention,neutral
pa,Vernon,mention,neutral
pa,Jewel,say,negative
pa,invite,mention,neutral
Vernon,Jewel,say,negative
Jewel,pa,mention,neutral
Vernon,word,mention,neutral
pa,word,say,positive
son,pa,say,neutral
pa,rest,mention,positive
pa,tell,mention,neutral
Jewel,pa,say,neutral
pa,rain,say,positive
pa,word,mention,neutral
pa,word,say,positive
Vernon,Jewel,say,negative
pa,roads,mention,neutral
pa,Dean,mention,neutral
Jewel,Vernon,say,negative
pa,land,mention,neutral
Jewel,Cash,mention,neutral
pa,Vernon,mention,neutral
pa,Vernon,say,positive
Vernon,dust,mention,neutral
Jewel,house,mention,neutral
Vernon,dust,mention,neutral
Jewel,steps,mention,neutral
pa,door,mention,neutral
pa,door,mention,neutral
Jewel,door,mention,neutral
Vernon,dust,mention,neutral
Jewel,door,mention,neutral
pa,voices,mention,neutral
pa,hall,mention,neutral
Jewel,breeze,mention,neutral
Vernon,breeze,mention,neutral
Cora,Anse Bundren,mention,neutral
Anse Bundren,death-bed,mention,neutral
Cora,nature,mention,neutral
Jewel,mother,mention,neutral
Cora,Darl,mention,neutral
Cora,affection,mention,positive
Jewel,self-denial,mention,positive
Jewel,partiality,mention,positive
Tull,Darl,mention,neutral
Darl,wait,mention,neutral
Anse,Jewel,mention,neutral
she,little one,is,positive
she,Mr. Tull,heard,positive
she,Anse,say,negative
I,she,said,neutral
I,Anse,believe,negative
Mr. Tull,Anse,believe,negative
I,Alabama,go back to,neutral
I,you,leave,neutral
I,Christian husband,cast my lot with,positive
I,Christian children,lay me down for the honour and comfort of,positive
Addie Bundren,Cash,building,negative
Addie Bundren,Darl,cherished,positive
Addie Bundren,Darl,love,positive
Addie Bundren,Jewel,cherished,positive
Addie Bundren,Jewel,love,negative
Addie Bundren,Dewey Dell,standing over,negative
Addie Bundren,Darl,looking at,neutral
