id,T
Distributed Proofreaders Canada eBook,object
William Faulkner,author
Delphine Lettau,charachter
Cindy Beyer,charachter
As I Lay Dying,book
HAL SMITH,charachter
JEWEL,charachter
Cotton-House,location
July,time
Lonodon,location
Chatto & Windus,charachter
Tull’s wagon,object
Cash’s saw,object
Addie Bundren,charachter
Box,object
CORA,charachter
Miss Lawington,charachter
Mr. Tull,charachter
Kate,charachter
Town,location
Lord,concept
Bazaar Saturday,event
I,charachter
Addie,charachter
Eula,charachter
Darl,charachter
PA,charachter
Vernon,charachter
Jewel,charachter
Cash,charachter
Sugar,object
Flour,object
Cakes,object
Eggs,object
Quilt,object
Pillow,object
Saw,object
Adze,object
Water bucket,object
Gourd,object
Cedar bucket,object
Cedar trees,location
Barn,location
Cattle,location
Pasture,location
pa,charachter
son,charachter
shirt,object
sweat stain,object
team,object
land,location
knees,object
week,time
ma,charachter
wagon,object
Doctor,charachter
Jefferson,location
roads,location
town,location
rain,event
family burying-ground,location
hell,location
boards,object
nails,object
snuff,object
hall,location
breeze,object
arched ceiling,object
Cora,charachter
Anse Bundren,charachter
death-bed,location
mother,charachter
nature,concept
affection,concept
Tull,charachter
self-denial,concept
partiality,concept
Anse,charachter
she,charachter
little one,charachter
Alabama,location
Christian husband,charachter
Christian children,charachter
quilt,object
Dewey Dell,charachter
Lafe,charachter
Pa,charachter
neighbours,charachter
the woods,location
sack,object
Life’s sack,object
secret shade,location
New Hope,location
mammy,character
Vardaman,character
barn,location
house,location
bridge,location
hill,location
bed,location
chickens,object
fish,object
cover,object
nightgown,object
shoes,object
cotton,object
corn,object
cake-box,object
tyke,concept
churches,location
Peabody,character
axe,object
dogs,object
steps,location
Vernon Tull,character
spring,location
path,location
bluff,location
Medical College,location
fifty-thousand dollar mark,concept
dead accounts,concept
rope,object
cylone,event
death,concept
storm,event
twilight,location
trees,object
porch,location
axle,object
piece of rotting log,object
VARDAMAN,character
not-fish,object
blood,object
floor,location
rathe barn,location
bushes,object
rocks,object
dirt,object
stall,location
teeth,object
Jewel's hat,object
tow-sack,object
water,object
running ditch,location
two-by-four,object
horses,object
buggy,object
church,location
hitch-rein,object
post Tull's,location
God,concept
Bud,character
sky,location
earth,location
train,object
box,object
rabbit,object
possum,object
kitchen,location
pan,object
IT,event
midnight,time
harness,object
stock,object
supper,event
lamp,object
door,location
glass,object
fellow,charachter
Christian duty,concept
overalls,object
hat,object
mud,object
Bible,object
oil-cloth,object
judgment,concept
warning,concept
sorrow,event
afflictions,event
lightning,event
sanctity,concept
hopeless,concept
women,charachter
darl,charachter
wife,charachter
brain,object
piece of machinery,object
path of sin,concept
mules,charachter
windows,object
dust-dawn,time
nightcap,object
nail,object
face,object
shirt-tail,object
steer,object
saw,object
scarecrow,object
lid,object
burden,concept
seams,object
joints,object
body,object
animal magnetism,concept
dead body,object
coffin,object
grave,location
Peabody's team,object
buckboard,object
Quick,character
ditch,location
river,location
water mark,object
bridge piling,object
Armstid,character
boy,character
womenfolks,character
men,character
Whitfield,charachter
Billy,charachter
Houston,charachter
Littlejohn,charachter
Jody,charachter
tin can,object
plugs,object
wood,object
wedge,object
sticks,object
joint,object
saw-horses,object
horse,object
mosquito bar,object
veil,object
wedding dress,object
dress,object
plank-ends,object
trestles,object
room,location
ford,location
Uncle Billy,charachter
Doc,charachter
weather,concept
clean shirt,object
wet hair,object
planks,object
broken leg,concept
song,event
voices,object
air,location
mud-splashed one,object
umbrella,object
Corb Bentley,charachter
third day,time
Samson's bridge,location
slough,location
reward,concept
buzzards,object
balance,concept
soul,concept
breath,object
slope,location
snow,object
Santa Claus,character
wagon-bed,object
Mrs. Tull,character
cakes,object
DARL,character
HE,character
ANSE,character
Samson,character
Church,location
Lot,location
Wagon,object
Basket,object
Newspaper,object
Parcel,object
House,location
Ocean,location
Tool,object
Bridge,location
Store,location
Porc,location
Bundren,charachter
MacCallum,charachter
Rafe,charachter
Snopes,location
Lon,charachter
Tull’s bridge,location
Mouth of Ishatawa,location
Rachel,charachter
Ishatawa,location
man,concepts
basket,objects
loft,location
he,charachter
feed,object
beds,object
woman,charachter
days,concept
sleep,event
road,location
raw-hiding,event
hallway,location
buzzard,charachter
signboard,object
DEWEY DELL,charachter
