S,T,R,ST
As I Lay Dying,William Faulkner,written by,positive
As I Lay Dying,Delphine Lettau,produced by,neutral
As I Lay Dying,Cindy Beyer,produced by,neutral
As I Lay Dying,Distributed Proofreaders Canada team,produced by,neutral
As I Lay Dying,Hal Smith,dedicated to,positive
chatto & Windus,As I Lay Dying,published,neutral
Jewel,Darl,accompanied by,neutral
Jewel,Cotton-house,location of,neutral
July,Cotton-house,time of,neutral
Cotton-house,field,location of,neutral
Cotton-house,path,surrounds,neutral
path,field,leads to,neutral
Jewel,spring,location of,neutral
Cora,Mr. Tull,mentioned,neutral
Cora,Miss Lawington,mentioned,neutral
Cora,Kate,conversation with,neutral
Riches,Lord,irrelevant,neutral
Cora,Bazaar Saturday,mentioned,neutral
pa,undecision,mislikes,negative
person,Pa,says,neutral
I,shirt,is,neutral
pa,shirt,across,neutral
shirt,sweat stain,is,neutral
he,sweat stain,seen,neutral
he,sweat stain,never,neutral
he,sick,was from,neutral
working,sun,in,neutral
he,people,tells,neutral
he,sweats,will die if,neutral
pa,she,don't last,neutral
Vernon,spits,into,neutral
it,rain,before,positive
pa,she,counted on,positive
team,she,counting on,positive
I,three dollars,means,neutral
pa,promised,her,positive
team,here,keep the,positive
pa,promised,would get her there,positive
I,pa,better,neutral
she,disappointed,will be,negative
pa,you,make up your mind,neutral
I,you,beter,neutral
Jewel,Shut up,says,negative
Vernon,she,seems,positive
ma,setting up,be,positive
Vernon,Time,to-day,positive
she,getting,start right away,positive
Jewel,head,is a head taller,neutral
ma,whipped,always was,negative
that’s why,Jewel,whipped,negative
pa,Shut up,says,negative
I,three dollars,means,neutral
pa,gazes out,over,neutral
pa,dips,repetition,neutral
stubble,gives,face,neutral
stubble,old dogs,have,neutral
pa,gazes out,across,neutral
pa,borrow,could,neutral
she,be upset,wouldn’t wait,negative
combo,could walk it,get her,positive
vernon,come,I couldn’t get,neutral
she,upset,wouldn’t upset her,negative
family,wait,waiting for her,positive
vernon,looks at,looks,neutral
pa,could borrow,the loan of,neutral
Jewel,Says,In that harsh,negative
pa,told,says,neutral
pa,Look out,Says,negative
Vernon,she,hold on,positive
she,rest easier,want,positive
she,rest quieter,for knowing,positive
she,clean up,her,positive
she,wanted,like she,positive
she,wanted,go in,positive
Jewel,go in,want to,positive
that's,why,should,neutral
pa,she,wanted,positive
Jewel,hell,burning,negative
Cash,the absence of the word,does not say,neutral
Cash,day long,with,neutral
mother,to come,force him to leave,negative
him,miss,to make,negative
Jewel,selling,couldn’t fool,negative
Jewel,selling,couldn’t fool,negative
them,me,couldn’t fool,negative
Jewel,selling,couldn’t fool,negative
Jewel,denying,could not fool,negative
Mr. Tull,selling,said,neutral
Mr. Tull,arm,likes,neutral
Mr. Tull,ought to,said,neutral
Mrs. Bundren,liked,least of all,negative
I,for,I will expect the,neutral
I,coming over,have been,positive
I,coming over,sometimes,neutral
I,coming over,neglecting,negative
I,neglecting,so that,neutral
I,own family and duties,neglecting,negative
I,I deserve,will expect,neutral
it,be,carting her forty miles away to bury,negative
Anse,Addie Bundren,husband,positive
Addie Bundren,Darl,mother,positive
Addie Bundren,Jewel,mother,positive
Darl,Addie Bundren,child,positive
Jewel,Addie Bundren,child,positive
Dewey Dell,Darl,sibling,positive
Darl,Dewey Dell,sibling,positive
Darl,Jewel,sibling,positive
Jewel,Darl,sibling,positive
Darl,Cotton-house,location,neutral
Jewel,Addie Bundren,care,positive
Cash,coffin,building,neutral
Cash,wagon,loading,neutral
Jewel,money,making,positive
Darl,Anse,conflict,negative
Darl,Addie Bundren,love,positive
Jewel,Addie Bundren,love,positive
Dewey Dell,Jewel,relation,positive
Darl,Dewey Dell,relation,positive
Darl,land,possession,neutral
Dewey Dell,land,possession,neutral
Darl,sack,filling,neutral
Darl,secret shade,heading to,neutral
Dewey Dell,secret shade,heading to,neutral
Anse,roads,condition,neutral
Anse,Jefferson,destination,neutral
Anse,New Hope,burial place,neutral
Anse,Addie Bundren,husband,positive
Anse,Dewey Dell,father,positive
Vardaman,Delphine Lettau,sibling,positive
Anse,Jewel,father,positive
Vardaman,Jewel,sibling,positive
Anse,Cora,acquaintance,positive
Anse,Cora,travel companion,positive
Cora,chickens,feeder,positive
Cora,Anse,comforter,positive
London,Chatto & Windus,location of,positive
Cotton-house,rivers,near,positive
Darl,Anse,listener,positive
Darl,Cash,listener,positive
Darl,Vardaman,listener,positive
Vardaman,fish,finder,positive
Vardaman,Dewey Dell,cleaner,negative
Vardaman,Anse,fish cleaner,negative
Anse,Vardaman,fish cleaner,positive
Anse,shoes,wearer,positive
Anse,Cora,travel companion,positive
Cora,hall,infers,positive
Anse,Cash,employer,positive
Anse,land,owner,positive
Anse,Darl,acquaintance,positive
Cash,boards,trimmer,positive
Cora,cake-box,holds,positive
Cora,Anse,speaks to,neutral
Cora,Anse,worries about,negative
Kate,Jewel,mentions,neutral
Eula,Cash,mentions,positive
Eula,Darl,mentions,neutral
Eula,married,mentions,neutral
Kate,Jewel,mentions,neutral
Cora,Jewel,worries about,negative
Kate,Jewel,mentions,neutral
Cora,Jewel,worries about,negative
Anse,road,curses,negative
Addie Bundren,Anse,speaks to,neutral
Peabody,Addie Bundren,speaks to,neutral
Peabody,Anse,tells to leave,negative
Vardaman,house,watches,neutral
Darl,Addie Bundren,talks to,neutral
Jewel,Darl,confronts,neutral
Dewey Dell,Darl,interacts with,neutral
Peabody,Addie Bundren,is concerned about,neutral
Anse,Vernon Tull,sends for,neutral
Vardaman,Anse,brings,positive
Anse,Vardaman,is concerned about,neutral
Dewey Dell,Pa,leave,negative
Dewey Dell,Pa,look at,neutral
Dewey Dell,Peabody,is,neutral
Dewey Dell,Peabody,stand in,neutral
Pa,Dewey Dell,stand over,neutral
Pa,Dewey Dell,raise hand to,neutral
Pa,quilt,touch,neutral
Pa,quilt,try to smoothe,neutral
quilt,Pa,smoothing it down,neutral
Jewel,hat,droops limp about,neutral
