id,T
Distributed Proofreaders Canada eBook,object
ebook,object
FP administrator,charachter
William Faulkner,author
Delphine Lettau,charachter
Cindy Beyer,charachter
Cover Illustration,object
AS I LAY DYING,object
SOLDIERS’ PAY,object
THE SOUND AND THE FURY,object
SANCTUARY,object
SARTORIS,object
LIGHT IN AUGUST,object
THESE THIRTEEN,object
DOCTOR MARTINO,object
Chatto & Windus,object
LONDON,location
GREAT BRITAIN,location
HAL SMITH,charachter
DARL,charachter
JEWEL,charachter
Cash,charachter
Addie Bundren,charachter
CORA,charachter
Miss Lawington,charachter
Mr. Tull,charachter
Kate,charachter
Lord,charachter
pa,charachter
shirt,object
sweat stain,object
sun,object
team,object
Vernon,charachter
dust,location
Jewel,charachter
ma,charachter
Dar,charachter
wagon,object
Jefferson,location
doctor,charachter
family burying-ground,location
town,location
rain,event
land,location
snuff,object
hall,location
breeze,event
Anse Bundren,charachter
Great Unknown,concept
Anse,charachter
she,charachter
little one,charachter
Alabama,location
Christian husband,charachter
Christian children,charachter
Darl,charachter
Dewey Dell,charachter
Lafe,charachter
Pa,charachter
neighbours,charachter
woods,location
sack,object
Life,charachter
New Hope,location
She,charachter
women,concept
mammy,charachter
Vardaman,charachter
Cora,charachter
fish,object
nightgown,object
bridge,location
door,location
steps,location
shoes,object
chickens,object
barn,location
corn,object
sick,concept
tired,concept
company,concept
talking,event
sweat,concept
clouds,object
cotton,object
boards,object
fan,object
week,concept
I,charachter
cake-box,object
Addie,charachter
Eula,charachter
gals,charachter
night,event
Birdsell,location
road,object
house,object
taxes,event
churches,location
law,concept
Peabody,charachter
tooth,object
axe,object
dogs,charachter
twilight,location
bed,object
saw,object
teeth,object
hat,object
neck,object
tow-sack,object
shoulders,object
ditch,location
axle,object
porch,location
circus,location
rocks,object
dirt,object
wagon-shed,location
stick,object
buggy,object
horses,object
cow,object
barn door,location
hill,location
spring,location
church,location
path,location
Tull's,location
stall,location
crest,location
trees,location
roof,location
air,concept
earth,location
darkness,concept
supper,concept
train,object
flour,object
sugar,object
coffee,object
bananas,object
rat,object
quilt,object
rabbit,object
possums,object
box,object
kitchen,location
pan,object
bevel,location
surface,object
nails,object
water,object
seam,object
people,charachter
body,object
animal magnetism,concept
dead body,object
coffin,object
grave,location
hole,location
VARDAMAN,charachter
mother,charachter
TULL,charachter
buckboard,object
Quick,charachter
river,location
water-mark,object
bridge-piling,object
Armstid,charachter
cut,object
jaw,object
pants,object
neckband,object
hump,object
hand,object
Peabody's team,object
womenfolks,charachter
fans,object
men,charachter
Littlejohn,character
Uncle Billy,character
Doc,character
Whitfield,character
third day,event
Samson’s bridge,location
slough,location
God,concept
horse,object
buzzards,object
CASH,charachter
MacCallum,charachter
Rafe,charachter
Bundren,charachter
Snopes,charachter
Lon,charachter
Tull,location
Mouth of Ishatawa,location
Rachel,charachter
nightmare,event
name,concept
girl,concept
wind,object
room,location
silk,object
legs,object
pines,location
Mr. Samson,character
sky,location
buzzard,object
plough,object
levee,location
mule,object
trace chains,object
gal,character
logs,object
planks,object
quick sand,object
trash,object
foam,object
cows,object
summer,event
mules,object
milk buckets,object
supper-table,location
Dewey Dell's,character
field,location
bottom piece,object
flesh,object
thinness,object
bread,object
deceit,concept
world,location
poverty,concept
Mrs. Tull,character
lantern,object
married woman,character
young boy,character
Summer,event
fall,event
milk,object
November,event
Texas ponies,object
Flem Snopes,character
Lon Quick,character
Bridge,location
Wagon,object
Rope,object
River,location
Horse,object
Mules,object
man,concept
woman,concept
log,object
rope,object
tree,location
smears,object
gold,object
square,object
hammer,object
chalk-line,object
rule,object
plane,object
bank,location
shore,location
Cash's head,object
caricaturist,charachter
leg,object
machinery,object
dress,object
eyes,object
blind men,charachter
horizons,location
valleys,location
children,object
WHITFIELD,character
shed,location
sheets of tin roofing,object
Lula,charachter
curry-comb,object
whisky,object
Haley bottom,location
lamp,object
tools,object
well,location
ridge-pole of the barn,location
turkey,object
Bend,location
sheds,location
Mottson,location
cultivator,object
seeder,object
trials,event
floutings,event
outrage,concept
lawed,concept
ground,location
dinner-bell,object
shade,location
trade,event
mortgage,concept
Eustace Grimm,character
Texas,location
Law,concept
victuals,object
basket,object
postal card,object
Christmas,event
He,charachter
We,charachter
Yesterday,time
four,number
medicine,object
supper time,time
bustard,animal
drive,event
cakes,object
sawdust,object
MOSELEY,charachter
window,object
glass,object
package,object
newspaper,object
Albert,charachter
counter,object
store,location
feet,object
fountain,object
toilet water,object
gingham dress,object
complexion,object
female dope,object
prescription case,object
gate,object
Grummet,charachter
Yoknapatawpha county,location
drug-store,location
hardware store,location
nipple,object
wedding licence,object
ten dollars,object
thousand dollars,object
cement,object
newspaper package,object
boy,charachter
marshal,charachter
father,charachter
fellow,charachter
street,location
church-member,concept
family,concept
sin,concept
devil,concept
life,concept
folks,concept
good,concept
death,concept
excuse,concept
notion,concept
health,concept
public health,concept
Edges,relation
stopped,relation
scattering,relation
standing,relation
arguing,relation
sitting,relation
fix,relation
lying,relation
trying,relation
told,relation
reckoned,relation
causing,relation
lose,relation
buried,relation
waiting,relation
washed,relation
swum,relation
drowned,relation
aimed,relation
backed,relation
delivered,relation
smell,event
jail,location
place,location
bucket,object
can,object
cake,object
gesture,event
compulsion,concept
sunset,event
attitude,concept
doll,object
sand,object
branch,location
time,concept
splints,object
cords,object
apple tree,object
moonlight,object
cat,charachter
we,charachter
foot,object
moon,location
sight of man,concept
wood,location
Cash's bed,location
me,character
Santa Claus,character
Mr. Gillespie's boy,character
Mack,character
pallet,object
track,object
flames,object
chaff,object
draught,object
nightshirt,object
Cow,character
corner,location
hallway,location
Gillespie,character
saw-horses,object
Mr. Gillespie,character
flat iron,object
butter,object
soot,object
her,charachter
stars,object
signs,object
drug-stores,location
clothing stores,location
patent medicine,object
garages,location
cafés,location
mile-boards,object
face,concept
smoke,object
hills,location
Dewey Dell's cakes,object
bushes,location
undergrowth,location
car,object
horn,object
Sunday dress,object
beads,object
stockings,object
red sand,location
negro cabins,location
telephone lines,object
clock,object
court-house,location
wheels,object
negroes,character
white man,character
knife,object
town fellow,character
fire,event
dysentery,condition
stranger,charachter
street lamps,object
capsules,object
cellar,location
stores,location
windows,object
Jackson,location
soda-water,object
banana,object
brother,relation
Cora Tull,character
Mrs. Bundren,character
hotel,location
grip,object
graphophones,object
record,object
mail order,location
winter,location
