id,T
As I Lay Dying,book
William Faulkner,author
Delphine Lettau,person
Cindy Beyer,person
Distributed Proofreaders Canada team,group
Hal Smith,person
Darl,charachter
Jewel,charachter
Cotton-house,location
July,time
London,location
Chatto & Windus,organization
Tull,charachter
Cash,charachter
Addie Bundren,charachter
Cora,charachter
Miss Lawington,charachter
Kate,charachter
Lord,concept
Bazaar Saturday,event
God,concept
Alabama,location
Christian,concept
Anse,charachter
neighbours,group
New Hope,location
Jefferson,location
rivers,location
Lafe,person
Dewey Dell,charachter
Pa,charachter
sack,object
land,location
secret shade,location
woods,location
Peabody,charachter
Vardaman,charachter
church,location
spring,location
saw,object
fish,object
buttermilk,object
bucket,object
barn,location
bluff,location
slope,location
air,object
cow,animal
silhouette,concept
rat,animal
train,object
flour,object
sugar,object
coffee,object
bicycles,object
town,location
rabbit,animal
possums,animal
kitchen,location
Vernon,person
whitfield,person
bridge,object
Littlejohn,person
Armstid,person
Uncle Billy,person
Quick,person
Doc,person
Samson,person
MacCallum,person
Rafe,person
Snopes,family
Bundren,family
 Rachel,person
Mouth of Ishatawa,location
Rachel,person
lantern,object
The Family Farm,location
Whitfield,person
river,location
Yellow surface,object
mules' knees,object
horse,animal
cane and saplings,object
trees,object
vines,object
ford,object
timber,object
sawmill,object
store,location
log,object
pillow,object
reins,object
water,location
hammer,object
plane,object
chalk-line,object
bank,location
steer,animal
bird,animal
current,concept
shore,location
rope,object
mud smears,object
leaves,object
jungle,location
patchwork quilt,object
tools,object
square,object
rule,object
inverted faces,concept
vomit,concept
coat,object
torso,object
stagnation,concept
mechanism,object
motion,concept
horizons,location
valleys,location
Satan,concept
Gethsemane,location
forgiveness,concept
sin,concept
trade,event
shade,object
hors,animal
wago,object
supper time,time
mule,animal
cane and sapling,object
tree,object
vine,object
rein,object
water0,location
animalo,animal
mud smear,object
leaf,object
tool,object
cake,object
Moseley,person
